,title,media,date,datetime,desc,link,img
37,"Starting with Michigan, Sidewalk Infrastructure is looking to build roads specifically for autonomous cars",TechCrunch,"Aug 13, 2020",2020-08-13 00:00:00.000000,"... Infrastructure is looking to build roads specifically for autonomous cars ... and Ann Arbor, Michigan that will be dedicated to autonomous vehicles.",https://techcrunch.com/2020/08/13/starting-with-michigan-sidewalk-infrastructure-is-looking-to-build-roads-specifically-for-autonomous-cars/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
38,Waymo’s Autonomous Cars Cut Out Human Drivers in Road Tests,The New York Times,"Nov 7, 2017",2017-11-07 00:00:00.000000,"Waymo's Autonomous Cars Cut Out Human Drivers in Road Tests ... Waymo&rsquo;s driverless cars at a media event in June in Chandler, Ariz. Waymo's driverless cars ...",https://www.nytimes.com/2017/11/07/technology/waymo-autonomous-cars.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
39,U.S. Proposes Spending $4 Billion on Self-Driving Cars,The New York Times,"Jan 14, 2016",2016-01-14 00:00:00.000000,Foxx said that autonomous vehicles had the potential to reduce traffic accidents and significantly improve safety on America's roads. He estimated that as many ...,https://www.nytimes.com/2016/01/15/business/us-proposes-spending-4-billion-on-self-driving-cars.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
40,Ghost Ride: The First Fully Autonomous Car Ride Took Place ...,KUT.org,"Dec 13, 2016",2016-12-13 00:00:00.000000,"Today, Google's parent company Alphabet announced its intention to bring driverless cars to the open market in a new endeavor called Waymo – a project that, ...",https://www.kut.org/science/2016-12-13/ghost-ride-the-first-fully-autonomous-car-ride-took-place-in-austin-over-a-year-ago,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
41,Google has reportedly stopped developing its own self-driving car,TechCrunch,"Dec 13, 2016",2016-12-13 00:00:00.000000,Google has reportedly shelved its long-standing plan to develop its own autonomous vehicle in favor of pursuing partnerships with existing car makers.,https://techcrunch.com/2016/12/12/google-has-reportedly-stopped-developing-its-own-self-driving-car/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
42,Blind man sets out alone in Google's driverless car,The Washington Post,"Dec 13, 2016",2016-12-13 00:00:00.000000,"Steve Mahan, who is legally blind, was the first non-Google employee to ride alone in the company's gumdrop-shaped autonomous car. “It is like driving with a ...",https://www.washingtonpost.com/local/trafficandcommuting/blind-man-sets-out-alone-in-googles-driverless-car/2016/12/13/f523ef42-c13d-11e6-8422-eac61c0ef74d_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
43,Driverless cars set to roll out for trials on UK roads,The Guardian,"Feb 10, 2015",2015-02-10 00:00:00.000000,The prototype driverless cars to be tested in the heart of four British ... An autonomous shuttle traversing the North Greenwich plaza beside O₂ Arena will ...,https://www.theguardian.com/technology/2015/feb/11/driverless-cars-roll-out-trials-uk-roads,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
44,Hyundai and Apple May Partner on Autonomous Apple Car Project,Car and Driver,"Jan 8, 2021",2021-01-08 00:00:00.000000,"Hyundai is reportedly in talks to partner with Apple to build an autonomous electric vehicle, a project currently known as the Apple Car, according to the ...",https://www.caranddriver.com/news/a35162835/hyundai-apple-autonomous-car-talks/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
45,Driverless Cars Will Face Moral Dilemmas,Scientific American,"Jun 23, 2016",2016-06-23 00:00:00.000000,Autonomous vehicles may put people in life-or-death situations. Will the outcomes be decided by ethics or data? ... A self-driving car carrying a family of four ...,https://www.scientificamerican.com/article/driverless-cars-will-face-moral-dilemmas/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
46,"Cruise sends driverless cars out, releases video of it to the public",Detroit Free Press,"Dec 9, 2020",2020-12-09 00:00:00.000000,"In October, the California Department of Motor Vehicles gave Cruise permission to test its autonomous vehicles without a safety driver in San Francisco.",https://www.freep.com/story/money/cars/general-motors/2020/12/09/cruise-gm-driverless-san-francisco-video/3863317001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
47,"You May Not Have Heard, But The Autonomous Vehicle Has Now Arrived",Forbes,"Oct 11, 2020",2020-10-11 00:00:00.000000,When I began writing regularly about autonomous driving in 2012 (Google's ... Whether you have autonomous vehicles in your city depends on the concerns of ...,https://www.forbes.com/sites/enriquedans/2020/10/11/you-may-not-have-heard-but-the-autonomous-vehicle-has-nowarrived/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
48,"Driverless Cars Won’t Prevent Most Accidents, Insurance Institute Study Finds",Forbes,"Jun 5, 2020",2020-06-05 00:00:00.000000,"The benefits of autonomous vehicles received another caveat Thursday, when the Insurance Institute for Highway Safety warned that the technology likely will ...",https://www.forbes.com/sites/greggardner/2020/06/05/driverless-cars-wont-prevent-most-accidents-insurance-institute-study-finds/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
49,"Google's robotic, driverless cars may be futuristic, but they're not the droids we're looking for",The Conversation,"May 30, 2014",2014-05-30 00:00:00.000000,Footage of Google's prototype driverless car has got people talking about the potential for self-driving vehicles. While this seems like an exciting new ...,https://theconversation.com/googles-robotic-driverless-cars-may-be-futuristic-but-theyre-not-the-droids-were-looking-for-27399,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
50,Ford is bringing its self-driving cars to Miami,The Verge,"Feb 27, 2018",2018-02-27 00:00:00.000000,"Initially, Ford will test two types of autonomous cars in Miami: the aforementioned blue-and-white research vehicles with hardware and software technology ...",https://www.theverge.com/2018/2/27/17055616/ford-self-driving-car-miami-test-av,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
51,Uber’s Driverless Cars Return to the Road After Fatal Crash,The New York Times,"Dec 20, 2018",2018-12-20 00:00:00.000000,"SAN FRANCISCO — Uber said its autonomous vehicles returned to public roads on Thursday, nine months after one of its self-driving cars killed a pedestrian ...",https://www.nytimes.com/2018/12/20/technology/uber-driverless-cars-return.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
52,GM's Cruise plans to test unmanned self-driving cars this year in San Francisco,CNBC,"Oct 15, 2020",2020-10-15 00:00:00.000000,"Cruise, a majority-owned subsidiary of GM, plans to begin testing unmanned autonomous vehicles by the end of this year in San Francisco.",https://www.cnbc.com/2020/10/15/gm-cruise-to-begin-testing-unmanned-autonomous-vehicles-this-year.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
53,"Self-Driving Cars Could Change the Auto Industry (GM, F)",Investopedia,"Mar 25, 2017",2017-03-25 00:00:00.000000,"A true driverless car, however, has remained elusive until recently. In the 1960s an autonomous vehicle was developed as a possible moon rover for the Apollo ...",https://www.investopedia.com/articles/personal-finance/031315/selfdriving-cars-could-change-auto-industry.asp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
54,Autonomous Vehicles Makers Report Disengagement Numbers in California,WIRED,"Feb 1, 2017",2017-02-01 00:00:00.000000,"Google and General Motors are leading the class with cars capable of driving ... Ford's two autonomous cars in California only drive on the highway, ...",https://www.wired.com/2017/02/california-dmv-autonomous-car-disengagement/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
55,Self-driving cars: A level-by-level explainer of autonomous vehicles,CNET,"Mar 29, 2018",2018-03-29 00:00:00.000000,"On the road to self-driving, autonomous cars, there are six levels of automation, ... A car has no automated assistance technologies, though it may feature ...",https://www.cnet.com/roadshow/news/self-driving-car-guide-autonomous-explanation/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
56,NVIDIA And Mercedes-Benz Join Forces In An Autonomous Car Power Play,Forbes,"Jun 23, 2020",2020-06-23 00:00:00.000000,"... with AI-enabled technology powered by NVIDIA's autonomous vehicle compute platforms. Specifically, Mercedes-Benz will be employing NVIDIA's new DRIVE ...",https://www.forbes.com/sites/davealtavilla/2020/06/23/nvidia-and-mercedes-benz-join-forces-in-an-autonomous-car-power-play/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
57,Google Is ‘Disappointed’ With California’s New Self-Driving Cars Rules,Fortune,"Dec 16, 2015",2015-12-16 00:00:00.000000,The rules prohibit the use of fully autonomous driverless cars that don't have a steering wheel or a brake pedal—like the prototype that Google (GOOG) has ...,https://fortune.com/2015/12/16/google-california-rules-self-driving-cars/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
58,Why LiDAR is important for autonomous vehicle?,Geospatial World,"Jan 17, 2020",2020-01-17 00:00:00.000000,LiDAR acts as an eye of the self-driving vehicles providing them a 360-degree view. Let's have a look what is the importance of LiDAR in autonomous vehicle.,https://www.geospatialworld.net/blogs/why-lidar-is-important-for-autonomous-vehicle/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
59,Driverless Cars Are Already Here,TechCrunch,"Jun 17, 2015",2015-06-17 00:00:00.000000,"Jens Wohltorf is the CEO of professional driver service Blacklane. With big initiatives under way from Google, Apple, Daimler and more, the autonomous car is ...",https://techcrunch.com/2015/06/17/driverless-cars-are-already-here/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
60,Autonomous cars without human drivers will be allowed on California roads starting next year,The Verge,"Oct 11, 2017",2017-10-11 00:00:00.000000,"The California Department of Motor Vehicles will allow autonomous cars without steering wheels, foot pedals, mirrors, and human drivers behind the wheel to ...",https://www.theverge.com/2017/10/11/16458850/self-driving-car-california-dmv-regulations,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
